msxssr,unit_opt_loc,whsyjsf,tax_amt,sale_inco,comp_nm,tax_reg_no,org_no,uni_social_crd_cd,count_dt
,,,,,宁波前湾新区瑞霞晨饭店（个体工商户）,,MAD97XRE-3,92330201MAD97XRE32,
,,,,,慈溪市悦生电子商务经营部,,MA2J584F-5,92330282MA2J584F58,
,,,,,慈溪市掌起客聚轩宾馆,,MA2EGPUN-8,92330282MA2EGPUN8J,
,,,,,慈溪市浒山晓刘足浴店,,MA2GTNU9-0,92330282MA2GTNU90P,
,,,,,中国邮政集团有限公司浙江省慈溪市剑山报刊亭,,06661811-0,91330282066618110G,
,,,,,慈溪市天祈娱乐有限公司,,MAD698HX-5,91330282MAD698HX5P,
,,,,,宁波熙斯健身服务有限公司,,MAC3AENG-1,91330201MAC3AENG15,
,,,,,宁波杭州湾新区洪森杰克文化传媒有限公司,,59948053-X,9133020159948053XH,
,,,,,慈溪市龙山阳阳面馆,,MA2J3C8Q-0,92330282MA2J3C8Q06,
,,,,,宁波斐然装饰设计有限公司,,MA2GWNG4-7,91330282MA2GWNG47C,
,,,,,慈溪市宗汉王治英奶茶店,,MA2J5YGW-1,92330282MA2J5YGW1C,
,,,,,慈溪市横河呈祥文具用品店,,MA2EHRPB-9,92330282MA2EHRPB9R,
,,,,,慈溪市宝真眼镜店,,MA2934HA-6,92330282MA2934HA6C,
,,,,,慈溪市浒山潘记钟表行,,MA2CLL70-8,92330282MA2CLL708E,
,,,,,慈溪市掌起香龙奶茶店,,MA7M58HJ-2,92330282MA7M58HJ2J,
,,,,,宁波杭州湾新区鸣山广告设计工作室,,MA2J40NK-X,92330201MA2J40NKX1,
,,,,,高瞻商业管理（宁波）有限公司,,MABU14C7-4,91330201MABU14C746,
,,,,,宁波亿丰叉车租赁服务有限公司,,MA7MG4DQ-3,91330282MA7MG4DQ3G,
,,,,,宁波杭州湾新区黑泷堂饮品店,,MA2AH4LY-5,92330201MA2AH4LY5K,
,,,,,宁波景墨园林工程有限公司,,MA2AJCF7-9,91330281MA2AJCF79C,
,,,,,慈溪市逍林鸿立电脑绣花厂,,MA2EJ332-0,92330282MA2EJ3320U,
,,,,,宁波杭州湾新区海草洗涤有限公司,,MA2CHCEF-9,91330201MA2CHCEF9G,
,,,,,慈溪市龙山乾宏棋牌室,,MA2EK3UJ-7,92330282MA2EK3UJ72,
,,,,,宁波杭州湾新区酷亮眼镜店,,MA2EN7DW-2,92330201MA2EN7DW27,
,,,,,宁波爱焱儿童用品有限公司,,MA2AJUMQ-8,91330282MA2AJUMQ8P,
,,,,,慈溪市浒山芝咪餐饮店,,MA2AH0PM-1,92330282MA2AH0PM1C,
,,,,,慈溪市浒山臻牛餐饮店,,MABQ513J-5,92330282MABQ513J5A,
,,,,,慈溪市古塘洁寐家纺店,,MACYT3MN-4,92330282MACYT3MN48,
,,,,,慈溪市五和饭店,,MA2GWCA9-X,92330282MA2GWCA9X8,
,,,,,慈溪市附海艾萍首饰店,,MACN8R3M-6,92330282MACN8R3M66,
,,,,,慈溪市博盛礼品商行,,MA2EK43C-0,92330282MA2EK43C05,
,,,,,慈溪市浒山晓康足浴店,,MA28361X-7,92330282MA28361X74,
,,,,,宁波前湾新区杰博帐篷租赁服务部,,MACPDP6W-0,92330201MACPDP6W0C,
,,,,,慈溪市浒山鑫翠缘珠宝店,,MA2915Y7-1,92330282MA2915Y71B,
,,,,,慈溪市行建汽车服务有限公司,,MA2839E3-2,91330282MA2839E32C,
,,,,,慈溪市庵东龙祥珠宝商行,,MA2EN7AW-3,92330201MA2EN7AW39,
,,,,,慈溪市福包餐饮店,,MA2AF3A5-4,92330282MA2AF3A54H,
,,,,,慈溪市慧成广告设计工作室,,MABQ2RF4-3,92330282MABQ2RF430,
,,,,,慈溪市宗汉窝努餐饮店,,MACQJ4KF-7,92330282MACQJ4KF7Q,
,,,,,慈溪市汛鑫玩具有限公司,,MABRBFKQ-2,91330282MABRBFKQ2B,
,,,,,慈溪市古塘亮彩横幅广告制作社,,MA2EJN4A-7,92330282MA2EJN4A7Q,
,,,,,慈溪市函洵绘画培训有限责任公司,,MA2GRBBP-7,91330282MA2GRBBP7W,
,,,,,慈溪横河锐亮眼镜店,,MA2KNGUR-X,92330282MA2KNGURXF,
,,,,,宁波晨永文具有限公司,,MA2823TF-4,91330282MA2823TF40,
,,,,,宁波杭州湾新区兰岛网咖网吧,,MA2836JM-1,91330201MA2836JM1J,
,,,,,慈溪市观海卫镇广义盲人按摩院,,MA2EGMW2-0,92330282MA2EGMW20C,
,,,,,慈溪斯塔克渔具有限公司,,MA291BWW-X,91330282MA291BWWXT,
,,,,,宁波灵燕眼镜有限公司,,MA2H4A87-3,91330201MA2H4A873D,
,,,,,宁波杭州湾新区之翔黄焖鸡米饭店,,MA29320P-5,92330201MA29320P5D,
,,,,,慈溪市老爸与海玩具经营部,,MABNYGJT-5,92330282MABNYGJT5G,
,,,,,慈溪市龙山梦声奶茶店,,MA2J7BBJ-1,92330282MA2J7BBJ1U,
,,,,,慈溪市观海卫镇海燕照相馆,,MA2EHRQD-1,92330282MA2EHRQD1Q,
,,,,,慈溪市迈步模具设计工作室,,MAC5GFUF-5,92330282MAC5GFUF5Y,
,,,,,慈溪市胜山创兴货运代理服务站,,MA2EGPR0-0,92330282MA2EGPR00P,
,,,,,慈溪市诗武烤鱼店,,MABWX0F6-0,92330282MABWX0F60F,
,,,,,宁波喜喵文化传媒有限公司,,MACBJT4X-7,91330203MACBJT4X75,
,,,,,浙江樊墨文化传媒有限公司,,MA2J79RK-6,91330203MA2J79RK63,
,,,,,浙江凯登供应链管理有限公司,,MA28Y8M1-3,91330203MA28Y8M13H,
,,,,,宁波市潮麦睿宇娱乐服务部（个人独资）,,MAD4TNCY-X,91330203MAD4TNCYXW,
,,,,,宁波时间印象文化传媒有限公司,,MA28314Y-0,91330203MA28314Y02,
,,,,,宁波远舟文化传媒有限公司,,MA2GTXKK-4,91330203MA2GTXKK49,
,,,,,宁波艾微广告传媒有限公司,,31685745-7,913302043168574571,
,,,,,卯介设计（宁波）有限公司,,MA2GQRHU-4,91330212MA2GQRHU4T,
,,,,,宁波云边文化传媒有限公司,,34056853-2,91330203340568532Y,
,,,,,宁波海曙宁兴汽车租赁服务有限公司,,67474833-0,913302036747483304,
,,,,,宁波海曙新知川菜馆,,MA2EQKTX-4,92330203MA2EQKTX4B,
,,,,,宁波科答鸭文化创意有限公司,,MA2J6JXU-8,91330203MA2J6JXU8H,
,,,,,宁波市海曙区新凯莉娱乐会所,,MA2J41RP-9,91330203MA2J41RP9F,
,,,,,宁波宁久汽车服务有限公司,,MA2CL0JJ-2,91330203MA2CL0JJ22,
,,,,,宁波清沐瑜伽健身服务有限公司,,MA2H6W2C-7,91330212MA2H6W2C7C,
,,,,,森岛旅游文化发展（宁波）有限责任公司,,MACBWKJ2-5,91330203MACBWKJ25D,
,,,,,宁波市海曙高塘茶楼,,MA2GG1ML-7,91330203MA2GG1ML77,
,,,,,宁波市鄞州甬金工艺品厂（普通合伙）,,MA8FQL35-4,91330203MA8FQL3542,
,,,,,淮安多禾传媒有限公司宁波分公司,,MACC0WFY-0,91330203MACC0WFY0L,
,,,,,成都三合力诚商务服务有限责任公司宁波分公司,,MA2CKUCB-9,91330212MA2CKUCB9T,
,,,,,宁波鹤润商业管理有限公司,,MACBB9WY-5,91330203MACBB9WY57,
,,,,,宁波市海曙超彩布料商行,,MACMNA8K-6,92330203MACMNA8K6G,
,,,,,宁波天一绿洲珠宝有限公司,,MA2K8H96-5,91330203MA2K8H965U,
,,,,,宁波万斛文化传播有限公司,,MA2K8J9B-1,91330203MA2K8J9B1U,
,,,,,宁波海曙英杰教育咨询有限公司,,59155875-0,91330203591558750M,
,,,,,宁波市海曙运盛商务广告有限公司,,55453659-5,91330203554536595A,
,,,,,宁波铭星汽车服务有限公司,,MA2J7CGM-0,91330203MA2J7CGM05,
,,,,,宁波彬盈堂商贸有限公司,,MACATE82-1,91330203MACATE8212,
,,,,,宁波市海曙石碶多姿化妆品店,,MA2ER5TX-9,92330203MA2ER5TX9D,
,,,,,宁波市海曙区尝未尝往餐饮店,,MA2KQ929-1,92330203MA2KQ9291R,
,,,,,宁波青岑餐饮文化有限公司,,MA2J4AF5-3,91330203MA2J4AF53J,
,,,,,宁波海曙区十度奶茶店,,MA2KQB3Q-2,92330203MA2KQB3Q2G,
,,,,,宁波市海曙鄞江凤凰山庄饭店,,MA284GUR-5,92330203MA284GUR50,
,,,,,星睿（宁波市）珠宝有限公司天一银泰分公司,,MAC4FGQ0-3,91330203MAC4FGQ03T,
,,,,,宁波海曙琳宝达商务信息咨询服务部,,MA2H5BMC-1,92330203MA2H5BMC1Y,
,,,,,宁波麦购文化传播有限公司,,MA282NK9-2,91330203MA282NK92P,
,,,,,宁波起峰酒店管理有限公司,,MA7EB8TG-X,91330203MA7EB8TGX9,
,,,,,宁波市海曙集士港鸿胜复印打字店,,MA28Y2KX-6,92330203MA28Y2KX6X,
,,,,,宁波海曙昊翔工艺品厂,,MA2GW5RP-X,92330203MA2GW5RPXU,
,,,,,宁波海曙蓝海清洗服务部,,MA2GG09G-0,91330203MA2GG09G02,
,,,,,宁波望湖市场培良玩具礼品经营部,,MA2846PQ-8,92330200MA2846PQ8X,
,,,,,宁波市海曙区德茂纸制品厂,,MACX5U4N-1,92330203MACX5U4N19,
,,,,,宁波飞牙商旅票务有限公司,,MA2H7E55-5,91330203MA2H7E555H,
,,,,,宁波玖世文化传媒有限公司,,MABX2THK-9,91330203MABX2THK97,
,,,,,宁波派胜体育文化发展有限公司,,MA281QYM-0,91330203MA281QYM03,
,,,,,宁波市海曙琦缘窗帘商行,,MA2EQPBL-5,92330203MA2EQPBL5W,
,,,,,浙江海内外商务旅游有限公司宁波柳汀门市部,,MA2GFD53-9,91330200MA2GFD539L,
,,,,,宁波晨鑫汽车客运有限公司,,56704778-2,913302125670477823,
,,,,,宁波市海曙古林冲冲化妆品店,,MA2CKRA5-9,92330203MA2CKRA59N,
,,,,,宁波市海曙区蓝派图文设计工作室,,MA2GUHW4-1,92330203MA2GUHW41H,
,,,,,宁波冉玖娱乐有限公司,,MA2H7PPX-1,91330203MA2H7PPX15,
,,,,,宁波市海曙高桥一宏饮品店,,MA2CJYL3-6,92330203MA2CJYL36G,
,,,,,浙江村村通汽车服务有限公司,,MA2GWG9T-8,91330203MA2GWG9T8M,
,,,,,福建闪电行网络技术有限公司宁波分公司,,MA2GU6LW-0,91330203MA2GU6LW0D,
,,,,,宁波市天普烨森档案服务有限公司,,MA2839L3-7,91330203MA2839L37G,
,,,,,宁波市海曙区昕光体育用品商店,,MA7C14J6-7,92330203MA7C14J67T,
,,,,,宁波你得艺术设计有限公司,,MA2CM5P4-7,91330203MA2CM5P47B,
,,,,,宁波市海曙章水正奇广告服务部,,MA2AG73H-4,92330203MA2AG73H4D,
,,,,,宁波市海曙宁仕广告服务部,,MA2CKG2W-9,92330203MA2CKG2W90,
,,,,,超客（宁波）传媒有限公司,,MAC1GD92-6,91330203MAC1GD926B,
,,,,,宁波海曙区深蓝室内游戏工作室,,MA2KQK7W-1,92330203MA2KQK7W12,
,,,,,宁波市海曙高桥卤宝食品店,,MA291NM9-0,92330203MA291NM90L,
,,,,,宁波海曙今日机电有限公司,,69507180-8,913302036950718083,
,,,,,宁波海曙澜亚展览有限公司,,MA2GFW7U-4,91330203MA2GFW7U41,
,,,,,宁波伍洲兄弟餐饮管理有限公司,,MA7MA9M9-2,91330203MA7MA9M92K,
,,,,,宁波博域智能装备有限公司,,MABXA5ND-8,91330206MABXA5ND8U,
,,,,,宁波海曙新大绿洲广告有限公司,,68801829-1,913302036880182919,
,,,,,宁波市海曙漠北餐饮店,,MA2H7PPM-1,92330203MA2H7PPM1R,
,,,,,宁波海曙汉品文化传播有限公司,,59947434-0,91330203599474340F,
,,,,,宁波市海曙区欢喜餐厅,,MA2KPHFF-X,92330203MA2KPHFFXJ,
,,,,,宁波星悦户外拓展策划有限公司,,MA2AGCT6-3,91330203MA2AGCT63Q,
,,,,,宁波市海曙阿秀棋牌室,,MAC63XNF-X,92330203MAC63XNFXJ,
,,,,,宁波余立文化传媒有限公司,,MA2GWAJE-2,91330203MA2GWAJE2E,
,,,,,宁波市瀚宇旅游文化传播有限公司,,MA293CWU-7,91330203MA293CWU7Y,
,,,,,宁波市海曙博程艺术培训有限公司,,MA2GR0YQ-1,91330203MA2GR0YQ1A,
,,,,,宁波市泉乐广告制作有限公司,,MA2J74J0-8,91330203MA2J74J08R,
,,,,,宁波市鄞州高桥象塘工艺品商行,,MA2ER12K-X,92330203MA2ER12KXU,
,,,,,宁波海曙百德文具有限公司,,MA2K8KUE-2,91330203MA2K8KUE2F,
,,,,,宁波海曙德佳房产中介服务部,,MA2CMA8X-X,92330203MA2CMA8XX5,
,,,,,宁波艾恰餐饮服务有限公司日新街第一分公司,,MAC5A6AA-X,91330203MAC5A6AAXR,
,,,,,宁波海曙福佳空调商行,,MA2AFA6B-7,92330203MA2AFA6B7F,
,,,,,瑞幸咖啡（宁波）有限公司月湖第五分店,,MAD8MN08-6,91330203MAD8MN086E,
,,,,,宁波市海曙仕耐文具有限公司,,68105536-4,913302036810553643,
,,,,,宁波兰拓文化传媒有限公司,,MA2CLQ4Y-0,91330203MA2CLQ4Y06,
,,,,,宁波市海曙区麦读绘玩书店,,MA2KQ33K-1,92330203MA2KQ33K1E,
,,,,,宁波海曙区之居小吃店（个体工商户）,,MA7BP8QH-2,92330203MA7BP8QH2D,
,,,,,宁波远盛广告传媒有限公司,,MA2GUHKQ-5,91330203MA2GUHKQ5J,
,,,,,宁波尚誓文化传媒有限公司,,MA7FJDPK-5,91330203MA7FJDPK5X,
,,,,,宁波海曙刘艺文化艺术工作室,,MA7KCPHP-4,92330203MA7KCPHP4X,
,,,,,宁波海曙银洋家电有限公司,,66558968-1,91330203665589681J,
,,,,,宁波市海曙铭艺工艺品有限公司,,MA2J6C4F-1,91330203MA2J6C4F16,
,,,,,宁波感光度摄影服务有限公司,,MA2GRK38-1,91330203MA2GRK381R,
,,,,,宁波纤手人生餐饮有限公司,,MA2GQMXJ-2,91330203MA2GQMXJ2H,
,,,,,宁波市海曙鄞江存咪饮食店,,MA28YP60-X,92330203MA28YP60X5,
,,,,,宁波海曙酒井餐馆,,MA2H8A6P-X,92330203MA2H8A6PXU,
,,,,,宁波海曙区佰意棋牌室,,MA2AHTTH-5,92330203MA2AHTTH54,
,,,,,宁波晴善眼镜有限公司,,MA2H8RLT-4,91330203MA2H8RLT4G,
,,,,,悠橙（宁波）商贸有限公司,,MA2GU1A1-3,91330203MA2GU1A13X,
,,,,,宁波海曙私苑坊花艺有限公司,,MA2K8JHQ-5,91330203MA2K8JHQ53,
,,,,,宁波朗坤电子科技有限公司,,MA8FQLQR-0,91330203MA8FQLQR0H,
,,,,,宁波稀木文化传媒有限公司,,MA2GWN0X-2,91330203MA2GWN0X2E,
,,,,,宁波博合文化传媒有限公司,,MACLHW4U-9,91330203MACLHW4U97,
,,,,,宁波市海曙民川餐饮店,,MABRM5R4-X,92330203MABRM5R4X1,
,,,,,宁波顺哲宇翔文化传媒有限公司,,MA2811RW-X,91330203MA2811RWXH,
,,,,,宁波市海曙高桥微之娜化妆品店,,MA2GTDPP-2,92330203MA2GTDPP27,
,,,,,宁波谦闻咖啡有限公司,,MACM6K2F-1,91330203MACM6K2F13,
,,,,,宁波力荷城市运营服务有限公司,,MAD0WYGA-1,91330203MAD0WYGA17,
,,,,,宁波市海曙唯科特工艺品有限公司,,MA2CHTBN-1,91330203MA2CHTBN10,
,,,,,宁波市海曙区森缘工艺品店,,MA2KPM0M-5,92330203MA2KPM0M56,
,,,,,宁波海曙日全会务服务部,,MA2GU7TM-2,92330203MA2GU7TM2J,
,,,,,宁波海曙盈州摄影工作室,,MA2J7DJ9-6,92330203MA2J7DJ96T,
,,,,,宁波多年以后文化有限公司,,31699544-6,91330203316995446H,
,,,,,宁波市海曙古林日升汽车租赁服务部,,MA291FKU-8,92330203MA291FKU82,
,,,,,宁波市海曙区吉卡网吧,,MA281EUE-7,91330203MA281EUE78,
,,,,,宁波市海曙文海书店,,MA2EQL68-6,92330203MA2EQL686H,
,,,,,宁波海曙明乐阁足浴店（个体工商户）,,MAD448JX-9,92330203MAD448JX9D,
,,,,,宁波泉遇艺术文化传播有限公司,,MA7DM8YU-5,91330203MA7DM8YU5U,
,,,,,宁波韵律流动文化传媒有限公司,,MABW3JG3-0,91330203MABW3JG30G,
,,,,,宁波市海曙区燕珍面馆,,MA2KNW04-4,92330203MA2KNW044C,
,,,,,宁波市意卡菲餐饮有限公司三江店,,MA2K8D20-0,91330203MA2K8D200H,
,,,,,宁波海曙区陈裕海针纺织品店,,MA2KQHH3-X,92330203MA2KQHH3X9,
,,,,,宁波浮元子旅游文化发展有限公司,,MA293K59-5,91330203MA293K5956,
,,,,,宁波东方飞扬旅行社有限公司,,MA2K8JNB-0,91330203MA2K8JNB0J,
,,,,,宁波市海曙恒达图文设计室,,MA2AGAKK-5,92330203MA2AGAKK53,
,,,,,宁波市海曙耀珍家纺经营部,,MA2KP151-8,92330203MA2KP1518N,
,,,,,宁波精焦锐点广告传媒有限公司,,MA281G5G-X,91330203MA281G5GX0,
,,,,,宁波黄天厚土餐饮有限公司,,MA7BGG9J-3,91330203MA7BGG9J33,
,,,,,宁波旸亨财税服务有限公司,,MACKCG2T-6,91330203MACKCG2T6H,
,,,,,鸣敩（宁波）艺术特长培训有限公司,,MA2CKH3F-9,91330203MA2CKH3F9J,
,,,,,宁波水墨志峰文化传播有限公司,,MA2AFGCB-1,91330203MA2AFGCB1D,
,,,,,宁波市海曙金靠杯饮品店,,MA2KQHTP-6,92330203MA2KQHTP6R,
,,,,,宁波圆释文化传播有限公司,,MA2AFT7M-5,91330203MA2AFT7M50,
,,,,,宁波市海曙众鑫机械设备租赁经营部,,MA2H8XJP-5,92330203MA2H8XJP5Y,
,,,,,宁波鄞州欣东宾馆,,MA2CKHTB-1,91330212MA2CKHTB19,
,,,,,宁波市鄞州新河良善工艺品店,,MA2AHJHJ-8,92330212MA2AHJHJ8J,
,,,,,宁波鄞州明楼基哥齐齐烤肉店,,MA2GTPLL-7,92330212MA2GTPLL7U,
,,,,,宁波市鄞州东吴旖旎灵动舞蹈工作室,,MA2EGE0W-0,92330212MA2EGE0W09,
,,,,,宁波红旅汽车服务有限公司,,MA282QLY-1,91330201MA282QLY1H,
,,,,,浙江易川体育用品连锁有限公司宁波鄞州分公司,,05826638-9,91330212058266389T,
,,,,,宁波市鄞州首南徐佳饮品店（个体工商户）,,MA2KQH6U-0,92330212MA2KQH6U0T,
,,,,,宁波市鄞州中河秀宁化妆品店,,MA2EG3X7-6,92330212MA2EG3X76B,
,,,,,宁波市鄞州瑞杰票务有限公司,,MA28YR5N-7,91330212MA28YR5N7L,
,,,,,宁波江东致富二手车经纪有限公司,,MA2828RG-3,91330204MA2828RG3D,
,,,,,宁波市鄞州首南鼎泰和工艺品商行,,MA28Y3A3-X,92330212MA28Y3A3XF,
,,,,,杭州肯德基有限公司宁波阪急甜品站,,MA2J5PMN-1,91330212MA2J5PMN1N,
,,,,,宁波馋鱼季餐饮有限公司,,MA2GQ6HY-X,91330201MA2GQ6HYX4,
,,,,,宁波川畔二手车经纪有限公司,,MA28Y6W9-7,91330212MA28Y6W97G,
,,,,,宁波江东新城鼎极咖啡厅,,MA2936CK-1,91330212MA2936CK1Y,
,,,,,宁波市鄞州中河恩泽恩宾馆,,MA2EG4HG-0,92330212MA2EG4HG05,
,,,,,宁波市鄞州钟公庙益森珠宝商行（个体工商户）,,MAD4MKN3-X,92330212MAD4MKN3XB,
,,,,,宁波万福祥珠宝有限公司,,MAD7NP9W-X,91330212MAD7NP9WXT,
,,,,,宁波市新旅程汽车服务有限公司,,31694298-5,91330201316942985M,
,,,,,宁波市鄞州姜山林辉劳保用品店,,MA7J9ELY-6,92330212MA7J9ELY6J,
,,,,,宁波市江东本初茶艺文化传播有限公司,,08478723-3,91330204084787233U,
,,,,,通用磨坊贸易（上海）有限公司宁波印象城店,,05826906-1,91330212058269061L,
,,,,,宁波市鄞州邱隘两可餐饮店,,MA2J6N56-4,92330212MA2J6N5642,
,,,,,宁波天胜摄影有限公司东钱湖分公司,,59537809-5,91330201595378095P,
,,,,,宁波市鄞州姜山齐兴饭店,,MA2CHTL4-X,92330212MA2CHTL4X5,
,,,,,宁波市鄞州姜山利歌饭店,,MA2H5PUN-0,92330212MA2H5PUN00,
,,,,,宁波市鄞州咸祥申宸坊茶馆,,MA2CLYP4-0,92330212MA2CLYP40G,
,,,,,浙江舟山啡凡餐饮管理有限公司宁波分公司,,MAD64TA1-9,91330212MAD64TA19E,
,,,,,宁波凌动工艺品有限公司,,MA282DJK-9,91330212MA282DJK92,
,,,,,宁波市鄞州中河唯美快餐店,,MA2AEWR0-5,91330212MA2AEWR058,
,,,,,宁波市鄞州咸祥陈席挖掘机租赁服务部,,MA2CKHDJ-5,92330212MA2CKHDJ50,
,,,,,宁波鄞州陈思锦餐饮服务有限公司,,MAC2CPNG-1,91330212MAC2CPNG11,
,,,,,宁波市星宁多餐饮有限责任公司,,MA2KP7JM-5,91330212MA2KP7JM5B,
,,,,,宁波捷迈商贸有限公司,,MA2H83A6-0,91330212MA2H83A60Q,
,,,,,宁波痴鸡餐饮有限公司,,MA7EE97J-3,91330212MA7EE97J3E,
,,,,,宁波市鄞州五乡亚金餐馆,,MA284X44-8,92330212MA284X4480,
,,,,,宁波誉萃广告有限公司,,MA292L27-7,91330212MA292L277R,
,,,,,宁波市鄞州邱隘浦达建筑设备租赁服务部（个体工商户）,,MAD2Y4L3-7,92330212MAD2Y4L370,
,,,,,宁波苏塔文化传播有限公司,,MA281EEC-9,91330212MA281EEC9K,
,,,,,宁波市江东长山小海鲜饭店,,MA8FY295-4,91330212MA8FY2954H,
,,,,,宁波石天电子有限公司,,MA2J5K1H-5,91330212MA2J5K1H5F,
,,,,,宁波金格丽珠宝首饰有限公司,,MAD1KHMP-1,91330212MAD1KHMP11,
,,,,,宁波江东宁东莫唯咖啡馆,,MA2EFACN-7,92330212MA2EFACN78,
,,,,,浙江金拱门食品有限公司宁波海港城第二餐厅,,MA28YXPR-3,91330200MA28YXPR32,
,,,,,宁波市鄞州明楼抖茶控奶茶店,,MA2J5J0B-7,92330212MA2J5J0B7F,
,,,,,宁波市鄞州瞻岐运馨床上用品店,,MA2H69BU-9,92330212MA2H69BU9Q,
,,,,,浙江熊二珠宝首饰有限公司,,MAD2DP65-0,91330212MAD2DP650M,
,,,,,宁波治城商业管理有限公司,,MAC5MXWW-9,91330201MAC5MXWW93,
,,,,,鄞县古林华美大酒店,,MA8FPPD6-1,91330203MA8FPPD61G,
,,,,,宁波市鄞州咸祥小琴餐馆,,MA2GQ700-6,92330212MA2GQ7006F,
,,,,,宁波忆味餐饮管理有限公司,,MABNFHM5-7,91330212MABNFHM57U,
,,,,,宁波市鄞州宝御格贸易有限公司,,77230341-5,91330212772303415R,
,,,,,宁波分众户外用品有限公司,,MAC4A8WH-1,91330212MAC4A8WH1D,
,,,,,宁波道源汽车服务有限公司,,MA2KPG5P-5,91330212MA2KPG5P5L,
,,,,,宁波市鄞州东吴宏旺快餐店,,MA2EG0WR-5,92330212MA2EG0WR5F,
,,,,,瑞幸咖啡（宁波）有限公司福明第一分店,,MA2CKUF5-9,91330212MA2CKUF59M,
,,,,,苏州可瑞森针织有限公司宁波市鄞州分公司,,MA8FQCWW-5,91330212MA8FQCWW52,
,,,,,宁波铂睿商业管理有限公司,,MABWQ86C-6,91330212MABWQ86C6Y,
,,,,,宁波市鄞州超易盛防水布有限公司,,MA291G65-7,91330212MA291G657R,
,,,,,宁波市鄞州姜山七彩广告设计制作部,,MA2AH25P-4,92330212MA2AH25P4K,
,,,,,宁波高新区掌心广告传媒有限公司,,MA8FXT41-8,91330201MA8FXT4185,
,,,,,宁波市鄞州邱隘庆环快餐店,,MA284YBX-2,92330212MA284YBX26,
